Date,Asset,Close,High,Low,Open,Volume
2025-09-01,DAX,43.75,44.0,43.56100082397461,43.61000061035156,118100
2025-09-01,DAX,43.83000183105469,43.900001525878906,43.619998931884766,43.77000045776367,100300
2025-09-01,DAX,44.22999954223633,44.2400016784668,43.9900016784668,44.09000015258789,116000
2025-09-01,DAX,44.099998474121094,44.487998962402344,43.959999084472656,44.31999969482422,53900
2025-09-01,DAX,44.59000015258789,44.599998474121094,44.2599983215332,44.439998626708984,48500
2025-09-01,DAX,44.33000183105469,44.33000183105469,44.14099884033203,44.279998779296875,64500
2025-09-01,DAX,43.959999084472656,44.2140007019043,43.84000015258789,44.15999984741211,62800
2025-09-01,DAX,44.38999938964844,44.435001373291016,44.165000915527344,44.220001220703125,66800
2025-09-01,DAX,44.2599983215332,44.347999572753906,44.13999938964844,44.15999984741211,68200
2025-09-01,DAX,44.45000076293945,44.5,44.290000915527344,44.36000061035156,37900
2025-09-01,DAX,44.152000427246094,44.369998931884766,43.900001525878906,44.279998779296875,74800
2025-09-01,DAX,44.0,44.439998626708984,43.82500076293945,44.11000061035156,96500
2025-09-01,DAX,44.43000030517578,44.4900016784668,44.06999969482422,44.189998626708984,53800
2025-09-01,DAX,44.209999084472656,44.369998931884766,44.10499954223633,44.22999954223633,76800
2025-09-01,DAX,44.279998779296875,44.33000183105469,43.900001525878906,43.90999984741211,56400
2025-09-01,DAX,44.2599983215332,44.45000076293945,44.16999816894531,44.29999923706055,37100
2025-09-01,DAX,44.21099853515625,44.32099914550781,44.10499954223633,44.209999084472656,47200
2025-09-01,DAX,43.709999084472656,43.83000183105469,43.5,43.650001525878906,56000
2025-09-01,DAX,44.2400016784668,44.2400016784668,44.02000045776367,44.09000015258789,41600
2025-09-01,DAX,44.38999938964844,44.41999816894531,44.189998626708984,44.25,67300
